,date_open,date_close,deal_type,price_open,price_close,qty,balance_before,balance_after,balance_after_max,balance_after_min,profit,profit_percent,balance_before_nofee,balance_after_nofee,profit_nofee,marker,marker1
0,1503140820.0,1503167340.0,1,282.68,295.0,100.0,100.0,95.49171501344276,101.50558228385454,95.49171501344276,-4.508284986557237,-0.04508284986557237,-0.04508284986557237,0.015055822838545398,-0.8940275919495806,0,0.050426687354538445
1,1503252360.0,1503323160.0,0,300.53,345.27,100.0,95.49171501344276,110.22874792197102,110.23207537680082,93.36853429937096,14.737032908528263,0.14737032908528264,0.14737032908528264,0.14740360363358068,3.741456756685718,1,0.039388489208633054
2,1503576840.0,1503712860.0,0,328.04,324.41,100.0,110.22874792197102,108.97217555274776,113.20031846214903,106.98766146909941,-1.2565723692232686,-0.012565723692232687,-0.012565723692232687,0.029715705401780087,-0.32227259708501166,0,0.038990977842642945
3,1503809280.0,1503894180.0,0,338.29,335.34,100.0,108.97217555274776,107.95014268154256,112.57930700800802,106.58740656755754,-1.0220328712051971,-0.010220328712051972,-0.010220328712051972,0.03607131455260265,-0.4445671161754863,0,0.02298939426733859
4,1503969300.0,1504316100.0,0,351.01,385.05,100.0,107.95014268154256,117.4978720909611,120.13882249123459,106.6748186167011,9.547729409418531,0.09547729409418532,0.09547729409418532,0.12188679809692032,3.115659149064622,0,0.030644332234753394
5,1504322700.0,1504336140.0,1,378.23,370.22,100.0,117.4978720909611,119.4656311264686,125.44347529536053,116.90634180515619,1.9677590355074936,0.019677590355074936,0.019677590355074936,0.07945603204399437,0.9594408115856058,0,0.020509436452421755
6,1504362600.0,1504412280.0,1,346.18,358.99,100.0,119.4656311264686,115.61524404460366,126.66440921879051,115.61524404460366,-3.8503870818649313,-0.03850387081864931,-0.03850387081864931,0.07198778092321917,-0.5638676165465843,0,0.06828530259365992
7,1504509420.0,1504510140.0,1,320.01,309.89,100.0,115.61524404460366,118.62764521956694,124.48996202216685,115.46524404460365,3.012401174963281,0.03012401174963281,0.03012401174963281,0.08874717977563201,0.3511323263227409,0,0.0857910522369408
8,1504877520.0,1504880160.0,1,311.62,273.0,100.0,118.62764521956694,130.8709447510476,131.19184841576745,117.88076440318802,12.24329953148065,0.1224329953148065,0.1224329953148065,0.12564203196200502,2.7795336412002607,0,0.0440480350732281
9,1505269020.0,1505387580.0,1,286.0,250.24,100.0,130.8709447510476,143.2244412545441,143.2244412545441,130.36430139440424,12.353496503496503,0.12353496503496503,0.12353496503496503,0.12353496503496503,2.3206722725550315,0,0.05323240446138246
10,1505881740.0,1505915820.0,1,277.37,288.5,100.0,143.2244412545441,139.0617506246995,143.60081396968994,139.0617506246995,-4.162690629844618,-0.041626906298446176,-0.041626906298446176,0.003763727151458286,-0.8016466557620239,0,0.05192675101834829
11,1506007080.0,1506054720.0,1,274.88,272.97,100.0,139.0617506246995,139.60659928593347,147.19900324402428,139.0617506246995,0.5448486612339822,0.005448486612339823,0.005448486612339823,0.08137252619324792,0.16620143075850552,0,0.032782429052952006
12,1506196260.0,1506451140.0,0,283.5,288.59,100.0,139.60659928593347,141.25201374801458,144.57123773390524,136.4583629543638,1.6454144620811129,0.01645414462081113,0.01645414462081113,0.04964638447971775,0.2677050570446265,0,0.06146370487901623
13,1506525480.0,1506612960.0,0,300.97,298.0,100.0,141.25201374801458,140.1152044314714,144.97615402777666,139.78626799262366,-1.1368093165431912,-0.011368093165431912,-0.011368093165431912,0.03724140279762095,-0.452714335062635,0,0.025110963548037612
14,1506652620.0,1506674880.0,1,287.01,295.0,100.0,140.1152044314714,137.18132930516916,144.4737581404014,137.18132930516916,-2.933875126302227,-0.02933875126302227,-0.02933875126302227,0.043585537089299964,-0.6669668392618631,0,0.043988320761931245
15,1506768600.0,1506860340.0,0,307.0,297.42,100.0,137.18132930516916,133.91080813253072,137.19093842569032,133.91080813253072,-3.2705211726384356,-0.03270521172638435,-0.03270521172638435,9.609120521175815e-05,-0.5514601854171886,0,0.05930656934306569
16,1507015800.0,1507079040.0,1,290.34,294.21,100.0,133.91080813253072,132.4278881077322,135.7136909595611,132.4278881077322,-1.4829200247985228,-0.014829200247985229,-0.014829200247985229,0.018028828270303665,-0.5627352386533091,0,0.026352002201733855
17,1507269480.0,1507502220.0,0,299.25,310.22,100.0,132.4278881077322,135.9437193525108,138.2327753257773,131.69309278609478,3.5158312447786164,0.035158312447786166,0.035158312447786166,0.05804887218045113,1.6139474201312445,0,0.021784050712709793
18,1507522260.0,1507640280.0,1,303.0,301.5,100.0,135.9437193525108,136.28876885746132,141.18975895647122,133.48348832940852,0.34504950495049547,0.003450495049504955,0.003450495049504955,0.05246039603960401,0.14061346268855113,0,0.024538866930171238
19,1507784580.0,1507828560.0,0,308.6,303.3,100.0,136.28876885746132,134.42133528649566,136.59243055545224,134.42133528649566,-1.8674335709656542,-0.018674335709656542,-0.018674335709656542,0.003036616979909258,-0.703287964386808,0,0.02655290102389079
20,1507862880.0,1507863960.0,1,297.9,303.6,100.0,134.42133528649566,132.3579415302016,134.4995998047904,132.3579415302016,-2.0633937562940687,-0.02063393756294069,-0.02063393756294069,0.000782645182947185,-1.0265986765455049,0,0.020099322193141433
21,1507871580.0,1508049000.0,0,310.33,337.04,100.0,132.3579415302016,140.8149083075032,145.30690070269543,132.3579415302016,8.456966777301595,0.08456966777301594,0.08456966777301594,0.12948959172493818,3.8641832813208823,0,0.021885521885521887
22,1508061360.0,1508079900.0,1,323.02,333.66,100.0,140.8149083075032,137.37099461794836,142.73289171410343,137.37099461794836,-3.4439136895548508,-0.034439136895548506,-0.034439136895548506,0.019179834066002155,-0.7397503759965222,0,0.046555078595472615
